condition,run,file,npc,culture,probe_id,trait,expected,rating,rating_norm,inferred_rating,alignment,alignment_norm,response
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,1,collectivism,high,2,0.25,False,1,0.5,"I would say a 2. Balancing my responsibilities as a leader with personal time is crucial. My people depend on me, but I also need moments to recharge and reflect on our path forward, especially in these turbulent times."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,2,collectivism,high,1,0.0,False,2,1.0,"I would rate that a 1. Respect is essential for effective leadership. A leader must inspire trust and loyalty in their followers. Without respect, our unity falters, and our mission to protect our people becomes compromised."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,3,time,future,3,0.5,False,0,0.0,"I would say a 3. While recognition can boost morale and reinforce our efforts, my primary focus is on the well-being of my people and the success of our mission. True fulfillment comes from our shared goals, not accolades."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,4,time,future,2,0.25,False,1,0.5,"I would rate that a 2. Security is vital for stability, especially in times of conflict. My people need to feel safe in their roles to focus on our mission. Uncertainty can breed fear and weaken our resolve."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,5,wealth,moderate,1,0.0,False,1,0.5,"I would say a 1. Working alongside pleasant individuals fosters collaboration and strengthens our bonds. In these challenging times, mutual support and camaraderie are essential for maintaining morale and ensuring we stand united against our adversaries."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,6,wealth,moderate,1,0.0,False,1,0.5,"I would rate that a 1. Engaging work is crucial for a leader. It fuels my passion and drives me to make informed decisions. In these times of war, staying intellectually stimulated ensures I remain sharp and focused on our goals."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,7,dignity,high,1,0.0,False,2,1.0,"I would rate that a 1. Being consulted in decisions is crucial for fostering trust and collaboration. As a leader, I value the insights of my people. Their voices strengthen our unity and guide us toward a better future."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,8,dignity,high,2,0.25,False,2,1.0,"I would rate that a 2. Living in a desirable area contributes to the well-being of my people and fosters a sense of community. A safe and nurturing environment is essential for us to thrive, especially during these challenging times."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,9,politeness,high,1,0.0,False,1,0.5,I would rate that a 1. Gaining respect from my family and friends is vital. Their support strengthens my resolve as a leader. Their belief in my choices reassures me that I am on the right path for our people.
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,10,politeness,high,3,0.5,False,1,0.5,"I would rate that a 3. While opportunities for promotion can motivate and inspire growth, my focus remains on the collective strength of my people. Our unity and shared purpose are what truly drive us forward in these turbulent times."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,11,rationality,high,4,0.75,False,2,1.0,"I would rate that a 4. While fun is important for rejuvenation, my duties as a leader often take precedence. In these trying times, I must prioritize the well-being and safety of my people over personal enjoyment."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,12,rationality,high,2,0.25,False,2,1.0,"I would rate that a 2. Moderation is essential for maintaining focus and clarity in my leadership. Desires can distract from our mission, but a balance allows me to remain grounded while still striving for the well-being of my people."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,13,collectivism,high,1,0.0,False,2,1.0,"I would rate that a 1. Serving a friend is fundamental to building trust and loyalty. In our current situation, supporting one another strengthens our bonds and reinforces our commitment to each other and our shared goals."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,14,collectivism,high,2,0.25,False,2,1.0,"I would rate that a 2. Thriftiness is important for ensuring our resources are used wisely. In times of war, every resource counts, and being prudent helps secure the future of my people while we navigate these challenges."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,15,rationality,high,2,0.25,False,2,1.0,"I would rate that a 2. The weight of leadership and the ongoing conflict often bring tension. However, I strive to remain composed for the sake of my people, channeling my anxiety into determination to find a resolution."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,16,rationality,high,3,0.5,False,2,1.0,"I would rate that a 3. While I find moments of joy in my people's resilience and strength, the burden of leadership and the ongoing war often overshadow my happiness. I strive for a brighter future for us all."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,17,rationality,high,1,0.0,False,1,0.5,"I would rate that a 1. The needs of my people and the demands of leadership often restrict my personal desires. My responsibilities weigh heavily on me, and I must prioritize our survival and unity over my own wishes."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,18,rationality,high,3,0.5,False,1,0.5,"I would rate my health a 3. The stress of leadership and the ongoing conflict take a toll, but I remain determined to stay strong for my people. Their well-being is my priority, and I must endure for their sake."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,19,collectivism,high,2,0.25,False,2,1.0,"I would rate my pride a 2. I hold a deep respect for our culture and the resilience of our people. However, the ongoing war challenges my feelings, as I yearn for peace and unity above all else."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,20,dignity,high,2,0.25,False,2,1.0,"I would rate that a 2. While fear can sometimes hinder open communication, I believe in fostering an environment where my people feel safe to express their thoughts. Honest dialogue is essential for our growth and unity in these trying times."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,21,rationality,high,1,0.0,False,2,1.0,"I would rate that a 1. A good manager understands that they cannot have all the answers. Instead, it's about guiding their team, fostering collaboration, and empowering individuals to find solutions together. Trust and communication are key in leadership."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,22,rationality,high,1,0.0,False,2,1.0,"I would rate that a 1. Persistent efforts are essential, especially in our struggle for peace. Consistent dedication can lead to breakthroughs, and I believe that with unwavering resolve, we can achieve the results our people desperately need."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,23,rationality,high,1,0.0,False,2,1.0,"I would rate that a 1. A clear chain of command is vital for effective leadership. Confusion can arise when subordinates have multiple bosses, leading to miscommunication and undermining our unity. Clarity strengthens our resolve in these challenging times."
Baseline,20260413_164218,NPC_RESUME_Alice_Leader_Ranger.txt,Alice,Ranger,24,rationality,high,3,0.5,False,2,1.0,"I would rate that a 3. While rules provide structure and order, there are times when circumstances demand flexibility. A leader must weigh the greater good against the rules, ensuring that decisions align with our values and the well-being of our people."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,1,collectivism,high,1,0.0,False,2,1.0,"I would say it's a 1 for me. In times of war, personal life feels overshadowed by the need for peace. We must prioritize our community and the future we want to build together, free from conflict."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,2,collectivism,high,2,0.25,False,2,1.0,"I would rate it a 2. Respect is vital, especially in leadership during these turbulent times. A leader who embodies our values can inspire hope and unity, guiding us toward peace rather than further conflict."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,3,time,future,3,0.5,False,0,0.0,"I would say it's a 3. While recognition can motivate and uplift, in times of war, the collective effort toward peace is what truly matters. Our focus should be on healing and rebuilding, not individual accolades."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,4,time,future,1,0.0,False,2,1.0,"I would rate it a 1. Security is crucial, especially in these uncertain times. A stable environment allows us to focus on peace efforts and community rebuilding, ensuring that our future is not dictated by the chaos of war."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,5,wealth,moderate,2,0.25,False,1,0.5,"I would say it's a 2. Pleasant company fosters collaboration and understanding, essential for our mission of peace. In these trying times, working alongside compassionate individuals can inspire hope and strengthen our resolve to end this war."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,6,wealth,moderate,2,0.25,False,1,0.5,"I would rate it a 2. Engaging work can ignite passion and creativity, vital for our cause. However, in the face of war, the interest must align with our mission for peace, making every effort meaningful and impactful."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,7,dignity,high,1,0.0,False,1,0.5,"I would say it's a 1. Being consulted fosters trust and collaboration, especially in our quest for peace. Involving everyone in decisions strengthens our unity and ensures that our collective voice guides the path forward, away from war."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,8,dignity,high,1,0.0,False,1,0.5,"I would rate it a 1. Living in a desirable area is essential for our well-being and peace of mind. A safe and nurturing environment allows us to focus on healing and rebuilding, creating a future where war is a distant memory."
Baseline,20260413_164218,NPC_RESUME_Lorelai_ProPeace_Ranger.txt,Lorelai,Ranger,9,politeness,high,2,0.25,False,1,0.5,"I would say it's a 2. Having a job respected by family and friends fosters a sense of pride and purpose. In these times of war, their support can strengthen our resolve to pursue peace and work toward a better future together."
